"FID"	"IID"	"Sigs160.Bindea_Macrophages"	"Sigs160.Bindea_Mast.cells"	"Sigs160.Bindea_Neutrophils"	"Sigs160.Bindea_NK.CD56bright.cells"	"Sigs160.Bindea_NK.CD56dim.cells"
"TCGA-IB-AAUM"	"TCGA-IB-AAUM"	0.192427391	0.026954606	-0.035693851	0.063772316	-0.039469477
"TCGA-YH-A8SY"	"TCGA-YH-A8SY"	0.220245257	-0.007688683	0.032719785	0.089153688	-0.027046473
"TCGA-IB-AAUT"	"TCGA-IB-AAUT"	0.230614613	0.036592512	0.036037672	0.07234724	-0.026332011
"TCGA-S4-A8RM"	"TCGA-S4-A8RM"	0.154662062	-0.016938941	-0.014425701	0.094586116	-0.085213766
"TCGA-F2-A8YN"	"TCGA-F2-A8YN"	0.197395513	-0.018476178	0.008300687	0.084875617	-0.050290771
"TCGA-HZ-A8P1"	"TCGA-HZ-A8P1"	0.127896057	-0.04935414	-0.066598428	0.054215417	-0.084333885
"TCGA-S4-A8RO"	"TCGA-S4-A8RO"	0.213488685	-0.024882138	-0.013662036	0.123381243	-0.053871649
"TCGA-Q3-AA2A"	"TCGA-Q3-AA2A"	0.199252556	-0.012302475	-0.005810265	0.107624727	-0.078208659
"TCGA-NH-A5IV"	"TCGA-NH-A5IV"	0.136888879	-0.087398498	-0.037092547	0.107034879	-0.010299053
"TCGA-T9-A92H"	"TCGA-T9-A92H"	0.042128331	-0.087957417	-0.110370001	-0.03253026	-0.069230209
"TCGA-AY-A71X"	"TCGA-AY-A71X"	0.022423429	-0.095937824	-0.118601332	0.090417186	-0.138308047
"TCGA-AY-A69D"	"TCGA-AY-A69D"	0.067436139	-0.085753734	-0.075660694	-0.024226889	-0.06717072
"TCGA-SS-A7HO"	"TCGA-SS-A7HO"	-0.001294904	-0.172961234	-0.05732462	0.00302937	-0.015149252
"TCGA-NH-A50U"	"TCGA-NH-A50U"	0.077824014	-0.075308695	-0.084080746	0.002248637	-0.091331702
"TCGA-NH-A6GA"	"TCGA-NH-A6GA"	0.065808021	-0.067232426	-0.065402364	0.019333832	-0.056207455
"TCGA-NH-A6GB"	"TCGA-NH-A6GB"	0.087785051	-0.103382937	-0.005994996	-0.005592597	-0.017768639
"TCGA-3L-AA1B"	"TCGA-3L-AA1B"	0.072929872	-0.010437132	-0.070230313	0.006832871	-0.053420011
"TCGA-4N-A93T"	"TCGA-4N-A93T"	-0.006499224	-0.111880499	-0.142038989	0.022063166	-0.128082078
"TCGA-RU-A8FL"	"TCGA-RU-A8FL"	-0.011476135	-0.118458247	-0.090478075	-0.011880824	-0.039235958
"TCGA-GL-A9DD"	"TCGA-GL-A9DD"	0.259018055	-0.049159519	0.075868839	0.059578287	-0.019101964
"TCGA-GL-A9DE"	"TCGA-GL-A9DE"	0.13410627	-0.106360583	0.061796937	0.012461871	-0.037274285
"TCGA-4A-A93W"	"TCGA-4A-A93W"	0.097001015	-0.06066629	-0.031768014	0.095208373	-0.056024152
"TCGA-4A-A93Y"	"TCGA-4A-A93Y"	0.315760838	-0.019707986	0.055738042	0.039461488	-0.00274456
"TCGA-Y8-A8RY"	"TCGA-Y8-A8RY"	0.143492212	0.07528783	0.010192423	0.043725888	-0.030008155
"TCGA-4A-A93X"	"TCGA-4A-A93X"	0.101619065	-0.096924193	0.031287169	-0.068921753	-0.155272233
"TCGA-Y8-A8S1"	"TCGA-Y8-A8S1"	0.270143119	0.004654159	0.083609412	0.10004227	0.027213275
