"FID"	"IID"	"Sigs160.Attractors_IFIT3"	"Sigs160.Attractors_LYM"	"Sigs160.Bindea_aDC"	"Sigs160.Bindea_B.cells"	"Sigs160.Bindea_CD8.T.cells"
"TCGA-24-2298"	"TCGA-24-2298"	11.88067139	7.584515531	0.119391236	-0.086997841	0.124482938
"TCGA-25-2398"	"TCGA-25-2398"	NA	NA	NA	NA	NA
"TCGA-29-2425"	"TCGA-29-2425"	9.135209529	7.657870253	-0.077155615	-0.070212531	0.138531959
"TCGA-59-2354"	"TCGA-59-2354"	NA	NA	NA	NA	NA
"TCGA-09-2050"	"TCGA-09-2050"	NA	NA	NA	NA	NA
"TCGA-24-2281"	"TCGA-24-2281"	9.524221038	9.603807513	0.057935865	-0.104749857	0.127411151
"TCGA-25-2042"	"TCGA-25-2042"	NA	NA	NA	NA	NA
"TCGA-25-2399"	"TCGA-25-2399"	11.49900013	8.799531551	0.159576157	-0.101522384	0.144578135
"TCGA-29-2427"	"TCGA-29-2427"	11.19680173	10.3821326	0.150708399	-0.044510717	0.173447183
"TCGA-59-2355"	"TCGA-59-2355"	10.66845358	8.054848125	0.120019319	-0.147787687	0.148399011
"TCGA-09-2051"	"TCGA-09-2051"	12.72571552	8.51389692	0.210229653	-0.102168161	0.122756105
"TCGA-24-2288"	"TCGA-24-2288"	11.30752584	9.394551356	0.205911133	-0.024282743	0.147391826
"TCGA-25-1329"	"TCGA-25-1329"	10.18972373	8.646882702	0.023023313	-0.133730963	0.123244533
"TCGA-25-2400"	"TCGA-25-2400"	10.45509992	8.029590077	0.091939387	-0.084406303	0.125165585
"TCGA-29-2428"	"TCGA-29-2428"	9.590438531	9.184640069	0.053483787	-0.111211799	0.163484921
"TCGA-59-2363"	"TCGA-59-2363"	9.583989819	6.914574994	0.022937814	-0.114305374	0.139050949
"TCGA-09-2055"	"TCGA-09-2055"	NA	NA	NA	NA	NA
"TCGA-24-2289"	"TCGA-24-2289"	NA	NA	NA	NA	NA
"TCGA-25-2391"	"TCGA-25-2391"	11.4571762	8.350968664	0.156505963	-0.108930669	0.139508053
"TCGA-25-2401"	"TCGA-25-2401"	NA	NA	NA	NA	NA
"TCGA-59-2348"	"TCGA-59-2348"	11.29436908	8.118271055	0.163108098	-0.137473612	0.10625274
"TCGA-09-2043"	"TCGA-09-2043"	NA	NA	NA	NA	NA
"TCGA-13-2060"	"TCGA-13-2060"	10.97463776	8.644045192	0.166960692	-0.114909393	0.112546337
"TCGA-24-2290"	"TCGA-24-2290"	10.75747556	9.232514238	0.158209112	-0.12508276	0.131025549
"TCGA-25-2392"	"TCGA-25-2392"	12.25901852	10.37904147	0.177743454	-0.143528055	0.126882988
"TCGA-59-2349"	"TCGA-59-2349"	NA	NA	NA	NA	NA
"TCGA-VD-AA8N"	"TCGA-VD-AA8N"	6.99119154	7.781695868	0.036914928	-0.073213497	0.193501253
"TCGA-V4-A9E5"	"TCGA-V4-A9E5"	4.987385947	5.818877174	-0.025040552	-0.057652209	0.17814509
"TCGA-WC-A87T"	"TCGA-WC-A87T"	6.241244567	5.154366616	-0.123648733	-0.084241523	0.205185054
"TCGA-V4-A9EH"	"TCGA-V4-A9EH"	12.0140239	7.680743528	0.107602444	-0.072621508	0.204255421
"TCGA-V4-A9EL"	"TCGA-V4-A9EL"	9.327760052	8.770387654	0.050154056	-0.045420641	0.209453506
"TCGA-V4-A9EQ"	"TCGA-V4-A9EQ"	5.516826114	6.609332939	-0.021926551	-0.072061875	0.183923546
"TCGA-V4-A9EV"	"TCGA-V4-A9EV"	9.180608949	10.06415595	0.103317213	-0.028416679	0.233845383
"TCGA-V4-A9EY"	"TCGA-V4-A9EY"	6.08086846	6.70186333	0.058173747	-0.078849704	0.185686189
