"FID"	"IID"	"Sigs160.Wolf_CD8.CD68.ratio"	"Sigs160.Wolf_CD8.PCA.16704732"	"Sigs160.Wolf_CD8A"	"Sigs160.Wolf_CHANG.CORE.SERUM.RESPONSE.UP"	"Sigs160.Wolf_Chemokine12.score"
"TCGA-HT-7606"	"TCGA-HT-7606"	-1.6964	-2.0658	-3.365	0.0315	-3.2986
"TCGA-HT-7470"	"TCGA-HT-7470"	-0.0164	-2.1065	-1.355	-0.384	-2.4083
"TCGA-HT-7608"	"TCGA-HT-7608"	-1.0556	-2.3338	-2.743	-0.3685	-1.5501
"TCGA-CR-7383"	"TCGA-CR-7383"	-0.4149	1.0142	0.708	0.389	1.7808
"TCGA-F7-7848"	"TCGA-F7-7848"	0.0773	0.6912	0.949	0.0585	0.6187
"TCGA-DU-7301"	"TCGA-DU-7301"	-3.1385	-1.8267	-3.516	-0.326	-1.3
"TCGA-DU-7304"	"TCGA-DU-7304"	-1.2874	-1.5276	-1.83	-0.346	-2.4029
"TCGA-HT-7601"	"TCGA-HT-7601"	-0.8462	-0.5234	-0.457	-0.3055	-1.0921
"TCGA-HT-7609"	"TCGA-HT-7609"	-3.5087	-2.4837	-4.269	-0.3205	-1.9409
"TCGA-CV-7435"	"TCGA-CV-7435"	-0.6829	0.4482	-0.107	0.1255	1.2007
"TCGA-CR-7404"	"TCGA-CR-7404"	0.2793	1.2921	1.274	0.1815	1.7492
"TCGA-CV-7440"	"TCGA-CV-7440"	0.0158	-0.0478	-0.968	0.366	0.2814
"TCGA-CV-7428"	"TCGA-CV-7428"	0.8335	1.0892	1.178	0.253	1.7799
"TCGA-CR-7368"	"TCGA-CR-7368"	-0.5465	0.6368	0.481	0.106	0.7096
"TCGA-CV-7430"	"TCGA-CV-7430"	-0.7971	-0.8757	-1.392	0.1975	-1.5134
"TCGA-CR-7370"	"TCGA-CR-7370"	0.8254	0.1576	0.578	0.094	0.6797
"TCGA-CR-7376"	"TCGA-CR-7376"	0.0465	1.7408	2.082	-0.021	2.9915
"TCGA-HD-7832"	"TCGA-HD-7832"	-0.1345	0.454	0.212	0.4345	1.0149
"TCGA-HT-7602"	"TCGA-HT-7602"	-1.7099	-1.848	-2.735	-0.364	-1.8355
"TCGA-HT-7603"	"TCGA-HT-7603"	1.1742	-2.1378	-0.6	-0.2595	-3.4285
"TCGA-DU-7302"	"TCGA-DU-7302"	0.2606	-2.2439	-1.733	-0.4375	-2.9062
"TCGA-DU-7309"	"TCGA-DU-7309"	0.1048	-2.0102	-1.272	-0.385	-1.8108
"TCGA-HT-7480"	"TCGA-HT-7480"	-0.4508	-2.098	-2.664	-0.463	-3.0988
"TCGA-CR-7382"	"TCGA-CR-7382"	0.0408	1.1239	1.103	0.1665	2.5563
"TCGA-CV-7434"	"TCGA-CV-7434"	0.3029	0.4462	0.446	0.2735	0.9042
"TCGA-CV-7432"	"TCGA-CV-7432"	-1.4001	-0.6373	-1.8	0.4195	-0.0679
"TCGA-CV-7437"	"TCGA-CV-7437"	-1.3857	-0.8726	-1.942	0.1265	-0.5725
"TCGA-CR-7369"	"TCGA-CR-7369"	-0.2477	0.4693	0.437	0.2055	0.4301
"TCGA-DU-7306"	"TCGA-DU-7306"	-1.839	-2.0243	-2.942	-0.4365	-2.1036
"TCGA-HT-7607"	"TCGA-HT-7607"	0.4442	-1.5909	-0.828	-0.438	-2.1957
"TCGA-CV-7429"	"TCGA-CV-7429"	-0.3093	0.4889	0.689	0.316	0.3388
"TCGA-VQ-A94T"	"TCGA-VQ-A94T"	-1.1102	-0.3997	-1.909	0.3345	-1.366
"TCGA-VQ-A925"	"TCGA-VQ-A925"	-0.1777	-0.178	0.388	0.0685	-0.3284
"TCGA-VQ-A91W"	"TCGA-VQ-A91W"	-0.0259	-0.2416	-0.324	0.068	0.2772
"TCGA-VQ-A91E"	"TCGA-VQ-A91E"	NA	NA	NA	NA	NA
"TCGA-VQ-A8PT"	"TCGA-VQ-A8PT"	NA	NA	NA	NA	NA
"TCGA-VQ-A91Y"	"TCGA-VQ-A91Y"	0.1396	0.5822	1.14	-0.1015	1.4081
"TCGA-VQ-A928"	"TCGA-VQ-A928"	-0.2995	-0.7219	-0.825	0.0225	-0.2112
"TCGA-3M-AB47"	"TCGA-3M-AB47"	0.2521	0.1299	0.577	0.0125	0.1519
"TCGA-VQ-AA64"	"TCGA-VQ-AA64"	0.5335	-0.4126	-0.221	0.161	0.0131
"TCGA-VQ-AA6G"	"TCGA-VQ-AA6G"	-0.9718	-0.8774	-1.317	-0.033	-0.9102
"TCGA-VQ-A8E0"	"TCGA-VQ-A8E0"	-1.3788	-0.7871	-1.523	0.1215	-0.4293
"TCGA-VQ-A8PH"	"TCGA-VQ-A8PH"	0.7592	0.3226	0.708	0.319	0.0062
"TCGA-VQ-A8PS"	"TCGA-VQ-A8PS"	NA	NA	NA	NA	NA
"TCGA-VQ-A8PX"	"TCGA-VQ-A8PX"	0.4405	0.0756	0.636	0.0835	-1.0932
"TCGA-3M-AB46"	"TCGA-3M-AB46"	-0.2802	-0.8733	-1.21	0.358	-0.3587
