"FID"	"IID"	"Sigs160.Bindea_NK.cells"	"Sigs160.Bindea_pDC"	"Sigs160.Bindea_T.cells"	"Sigs160.Bindea_T.helper.cells"	"Sigs160.Bindea_Tcm.cells"
"TCGA-24-2280"	"TCGA-24-2280"	NA	NA	NA	NA	NA
"TCGA-24-2298"	"TCGA-24-2298"	0.07196855	-0.2265919	-0.156374095	0.154208761	0.085247028
"TCGA-25-2398"	"TCGA-25-2398"	NA	NA	NA	NA	NA
"TCGA-29-2425"	"TCGA-29-2425"	0.032931494	-0.250405076	-0.132677128	0.171788542	0.10779468
"TCGA-59-2354"	"TCGA-59-2354"	NA	NA	NA	NA	NA
"TCGA-09-2050"	"TCGA-09-2050"	NA	NA	NA	NA	NA
"TCGA-24-2281"	"TCGA-24-2281"	0.048591986	-0.142879053	-0.084440087	0.176529727	0.106512914
"TCGA-25-2042"	"TCGA-25-2042"	NA	NA	NA	NA	NA
"TCGA-25-2399"	"TCGA-25-2399"	0.066696701	-0.234268838	-0.157778782	0.165734813	0.09363858
"TCGA-29-2427"	"TCGA-29-2427"	0.042485616	-0.207375107	0.008761296	0.152390817	0.043435741
"TCGA-59-2355"	"TCGA-59-2355"	0.062828888	-0.249329326	-0.139909159	0.142765108	0.083834373
"TCGA-09-2051"	"TCGA-09-2051"	0.039044556	-0.226689695	-0.094416479	0.16290548	0.067032629
"TCGA-24-2288"	"TCGA-24-2288"	0.046075508	-0.207081721	-0.102322279	0.182696899	0.103837924
"TCGA-25-1329"	"TCGA-25-1329"	0.077565741	-0.249573815	-0.16882528	0.164709393	0.089895918
"TCGA-25-2400"	"TCGA-25-2400"	0.053910707	-0.31172278	-0.181370079	0.166098824	0.056624293
"TCGA-29-2428"	"TCGA-29-2428"	0.036060582	-0.191287767	-0.024672592	0.155077007	0.064793276
"TCGA-59-2363"	"TCGA-59-2363"	0.054147485	-0.24649326	-0.18761102	0.184285479	0.079722533
"TCGA-09-2055"	"TCGA-09-2055"	NA	NA	NA	NA	NA
"TCGA-24-2289"	"TCGA-24-2289"	NA	NA	NA	NA	NA
"TCGA-25-2391"	"TCGA-25-2391"	0.057749883	-0.290256694	-0.159830496	0.170412	0.07349385
"TCGA-25-2401"	"TCGA-25-2401"	NA	NA	NA	NA	NA
"TCGA-59-2348"	"TCGA-59-2348"	0.067288863	-0.21495425	-0.181149211	0.181444052	0.0766486
"TCGA-09-2043"	"TCGA-09-2043"	NA	NA	NA	NA	NA
"TCGA-13-2060"	"TCGA-13-2060"	0.031714247	-0.224587095	-0.110473506	0.190448864	0.073608111
"TCGA-24-2290"	"TCGA-24-2290"	0.032416086	-0.196568718	-0.167050163	0.176217493	0.091181172
"TCGA-25-2392"	"TCGA-25-2392"	0.032592712	-0.236420336	-0.123072912	0.170426046	0.087485363
"TCGA-59-2349"	"TCGA-59-2349"	NA	NA	NA	NA	NA
"TCGA-VD-AA8N"	"TCGA-VD-AA8N"	0.140645973	0.062784635	-0.005733624	0.180723509	0.111373293
"TCGA-V4-A9E5"	"TCGA-V4-A9E5"	0.141877465	-0.083566154	-0.170602347	0.177037029	0.089930488
"TCGA-WC-A87T"	"TCGA-WC-A87T"	0.104442469	-0.108944056	-0.17909463	0.254781769	0.176260127
"TCGA-V4-A9EH"	"TCGA-V4-A9EH"	0.115395405	-0.160482222	-0.041920555	0.197647366	0.114365487
"TCGA-V4-A9EL"	"TCGA-V4-A9EL"	0.144115947	0.020048053	0.015057979	0.229146343	0.136853745
"TCGA-V4-A9EQ"	"TCGA-V4-A9EQ"	0.125902903	-0.009339459	-0.088141237	0.165004154	0.109720179
"TCGA-V4-A9EV"	"TCGA-V4-A9EV"	0.143972298	0.009094971	0.137185181	0.256628708	0.171812223
"TCGA-V4-A9EY"	"TCGA-V4-A9EY"	0.121429033	-0.128307541	-0.111890927	0.132268483	0.078543631
"TCGA-V3-A9ZY"	"TCGA-V3-A9ZY"	0.12122481	-0.057308094	-0.092922556	0.180443841	0.105837589
"TCGA-V4-A9F5"	"TCGA-V4-A9F5"	0.146725601	0.079752134	-0.156989108	0.187556704	0.105809423
"TCGA-V4-A9ED"	"TCGA-V4-A9ED"	0.155155876	-0.05124478	-0.061042753	0.183966812	0.132883412
"TCGA-V4-A9EF"	"TCGA-V4-A9EF"	0.12225456	-0.017700964	-0.1106454	0.196647496	0.138819524
"TCGA-V4-A9E7"	"TCGA-V4-A9E7"	0.136396934	0.011197571	-0.154446841	0.192522851	0.111694628
"TCGA-VD-A8KA"	"TCGA-VD-A8KA"	0.132999062	-0.161313483	-0.158547383	0.204281407	0.145555826
"TCGA-V4-A9F4"	"TCGA-V4-A9F4"	0.147784095	-0.118234617	-0.135731774	0.220898226	0.169109948
"TCGA-V4-A9EX"	"TCGA-V4-A9EX"	0.121291242	-0.107966102	-0.133704155	0.22833742	0.130244703
"TCGA-V4-A9EO"	"TCGA-V4-A9EO"	0.13174792	-0.052027143	-0.150739115	0.227672463	0.180023836
"TCGA-WC-A884"	"TCGA-WC-A884"	0.14249489	-0.102587356	-0.044528232	0.175840914	0.092062449
"TCGA-VD-AA8T"	"TCGA-VD-AA8T"	0.135913775	-0.10821059	-0.113302145	0.25115566	0.180069201
"TCGA-VD-AA8M"	"TCGA-VD-AA8M"	0.121567523	-0.146595278	-0.133290075	0.177307278	0.097415003
"TCGA-VD-A8KI"	"TCGA-VD-A8KI"	0.120314509	-0.061122114	-0.036555924	0.168495735	0.10592881
"TCGA-YZ-A980"	"TCGA-YZ-A980"	0.136702379	-0.177792004	-0.146131049	0.201215552	0.160096533
"TCGA-WC-A883"	"TCGA-WC-A883"	0.139258756	-0.034668463	-0.140150875	0.203968257	0.133239594
"TCGA-WC-A87U"	"TCGA-WC-A87U"	0.122953242	-0.146350789	-0.151230802	0.231673322	0.152321438
"TCGA-WC-AA9A"	"TCGA-WC-AA9A"	0.114823928	-0.00317835	-0.179720248	0.238309709	0.15082977
"TCGA-WC-A880"	"TCGA-WC-A880"	0.122910008	-0.147035357	-0.135941672	0.202944346	0.145221485
"TCGA-WC-A88A"	"TCGA-WC-A88A"	0.139047012	-0.040291697	-0.099744336	0.192949098	0.126378996
"TCGA-YZ-A985"	"TCGA-YZ-A985"	0.138128992	-0.01589175	-0.107457971	0.185816305	0.13325966
"TCGA-WC-A881"	"TCGA-WC-A881"	0.127715462	-0.112855871	-0.105238312	0.214375215	0.132439638
"TCGA-V4-A9EI"	"TCGA-V4-A9EI"	0.148401257	-0.01017072	-0.101968402	0.216392452	0.11601402
"TCGA-V4-A9E9"	"TCGA-V4-A9E9"	0.103318259	-0.057650378	-0.170562785	0.165712662	0.103110839
"TCGA-V4-A9EZ"	"TCGA-V4-A9EZ"	0.135074789	-0.065522906	-0.117899516	0.163835132	0.071387495
"TCGA-V4-A9ES"	"TCGA-V4-A9ES"	0.117453431	-0.069777005	-0.212609264	0.22555541	0.151873034
"TCGA-VD-A8KD"	"TCGA-VD-A8KD"	0.131096536	-0.026551446	0.047946862	0.256323446	0.174624794
"TCGA-WC-AA9E"	"TCGA-WC-AA9E"	0.106401659	-0.107330432	-0.103286518	0.2169022	0.141946506
"TCGA-V4-A9F7"	"TCGA-V4-A9F7"	0.121122325	-0.142879053	-0.203754563	0.240480952	0.159757445
"TCGA-WC-A882"	"TCGA-WC-A882"	0.15594305	-0.082001428	-0.07941126	0.174875054	0.103786125
"TCGA-VD-AA8O"	"TCGA-VD-AA8O"	0.12639492	-0.048115328	-0.060775641	0.182275114	0.108570228
"TCGA-VD-A8KK"	"TCGA-VD-A8KK"	0.13824674	0.02689373	-0.084508458	0.197701157	0.129238361
"TCGA-WC-A888"	"TCGA-WC-A888"	0.142794006	-0.06733212	0.099687693	0.227214052	0.146849796
"TCGA-YZ-A984"	"TCGA-YZ-A984"	0.143965789	-0.119554854	-0.10870758	0.176322784	0.10512298
"TCGA-WC-A87Y"	"TCGA-WC-A87Y"	0.137752233	-0.115691937	-0.014588488	0.227701616	0.168434474
"TCGA-VD-AA8P"	"TCGA-VD-AA8P"	0.125940762	-0.104200979	-0.151611876	0.206511356	0.130008524
"TCGA-VD-A8KL"	"TCGA-VD-A8KL"	0.132566795	-0.068261177	-0.148369571	0.179339383	0.112507915
"TCGA-VD-A8KE"	"TCGA-VD-A8KE"	0.124966265	-0.120092729	-0.132732663	0.192600256	0.121218358
"TCGA-V4-A9EA"	"TCGA-V4-A9EA"	0.130018906	-0.08767356	-0.159064017	0.137568347	0.096491353
"TCGA-VQ-A8PC"	"TCGA-VQ-A8PC"	0.050040863	-0.158673007	-0.09879005	0.185817759	0.138756393
"TCGA-4C-A93U"	"TCGA-4C-A93U"	0.163807483	0.1037609	-0.024902634	0.247499845	0.179411229
