"FID"	"IID"	"Sigs160.Bindea_Cytotoxic.cells"	"Sigs160.Bindea_DC"	"Sigs160.Bindea_Eosinophils"	"Sigs160.Bindea_iDC"	"Sigs160.Bindea_Lymph.vessels"
"TCGA-DJ-A13P"	"TCGA-DJ-A13P"	-0.065642326	-0.059700876	0.135946779	0.089686133	0.012797665
"TCGA-BJ-A0ZH"	"TCGA-BJ-A0ZH"	-0.057805215	0.015365416	0.074737102	0.097491388	-0.006585739
"TCGA-C4-A0EZ"	"TCGA-C4-A0EZ"	NA	NA	NA	NA	NA
"TCGA-C4-A0F0"	"TCGA-C4-A0F0"	-0.060957866	-0.017404903	0.033410321	0.061244894	0.222025463
"TCGA-BJ-A0ZB"	"TCGA-BJ-A0ZB"	-0.071945724	-0.002546375	0.100098542	0.076377605	-0.020755471
"TCGA-BJ-A0Z2"	"TCGA-BJ-A0Z2"	-0.096611867	-0.075702	0.100123158	-0.005181889	-9.34e-05
"TCGA-09-2044"	"TCGA-09-2044"	-0.145604608	-0.069771739	-0.014781088	-0.013533237	-0.202640678
"TCGA-24-2262"	"TCGA-24-2262"	-0.10537025	-0.032764991	0.01677458	-0.030905537	-0.188217805
"TCGA-24-2293"	"TCGA-24-2293"	NA	NA	NA	NA	NA
"TCGA-25-2393"	"TCGA-25-2393"	-0.124054263	-0.119838765	0.002351344	-0.023458789	-0.099917567
"TCGA-25-2408"	"TCGA-25-2408"	NA	NA	NA	NA	NA
"TCGA-59-2350"	"TCGA-59-2350"	-0.166212242	-0.148269921	-0.008647797	-0.062536754	-0.133500124
"TCGA-09-2045"	"TCGA-09-2045"	-0.112135031	-0.094249132	0.031936024	-0.024883662	-0.182456654
"TCGA-24-2267"	"TCGA-24-2267"	-0.050703718	-0.027763872	0.005507635	-0.018098632	-0.215296992
"TCGA-24-2295"	"TCGA-24-2295"	NA	NA	NA	NA	NA
"TCGA-25-2396"	"TCGA-25-2396"	-0.083684865	-0.065832818	-0.026013887	-0.000417254	-0.178515719
"TCGA-25-2409"	"TCGA-25-2409"	-0.07844867	-0.064231167	0.010575843	0.015369886	-0.151552602
"TCGA-59-2351"	"TCGA-59-2351"	-0.105819257	-0.003426902	-0.006100229	-0.001412691	-0.16518169
"TCGA-09-2048"	"TCGA-09-2048"	-0.198164013	-0.146039102	-0.006355727	-0.071933521	-0.083185326
"TCGA-24-2271"	"TCGA-24-2271"	-0.082825288	-0.0511631	0.028798022	-0.02487661	-0.1518568
"TCGA-24-2297"	"TCGA-24-2297"	-0.146605146	-0.076854015	0.027221202	-0.061574199	-0.203649147
"TCGA-25-2397"	"TCGA-25-2397"	-0.103941059	-0.114698246	-0.005411664	-0.021831552	-0.224786199
"TCGA-29-2414"	"TCGA-29-2414"	-0.159933817	-0.13387485	-0.017506901	-0.025712402	-0.030318499
"TCGA-59-2352"	"TCGA-59-2352"	-0.106881552	-0.089692413	0.02387867	-0.01007254	-0.049381078
"TCGA-09-2049"	"TCGA-09-2049"	NA	NA	NA	NA	NA
"TCGA-24-2280"	"TCGA-24-2280"	NA	NA	NA	NA	NA
