"FID"	"IID"	"Sigs160.Wolf_Module4.TcellBcell.score"	"Sigs160.Wolf_Module5.TcellBcell.score"	"Sigs160.Wolf_NHI.5gene.score"	"Sigs160.Wolf_PD1.data"	"Sigs160.Wolf_PD1.PDL1.score"
"TCGA-NK-A7XE"	"TCGA-NK-A7XE"	-0.4372	0.027	0.0985	0.796	0.4475
"TCGA-XC-AA0X"	"TCGA-XC-AA0X"	1.2814	0.9695	-0.366	0.957	1.4315
"TCGA-33-AASI"	"TCGA-33-AASI"	1.0339	1.0702	1.1175	1.46	0.9955
"TCGA-33-AASJ"	"TCGA-33-AASJ"	-0.2888	0.0322	0.8775	0.32	1.376
"TCGA-6A-AB49"	"TCGA-6A-AB49"	-1.1888	-0.805	-0.277	-0.22	0.5645
"TCGA-33-AAS8"	"TCGA-33-AAS8"	-0.0257	-0.2002	-1.028	0.308	0.7675
"TCGA-LA-A7SW"	"TCGA-LA-A7SW"	-0.897	-0.5417	-1.0035	-1.015	0.079
"TCGA-33-AASB"	"TCGA-33-AASB"	-1.1133	-0.9462	-1.4635	-0.147	-0.6395
"TCGA-56-A62T"	"TCGA-56-A62T"	-0.0869	0.0826	0.347	-0.259	0.009
"TCGA-GN-A9SD"	"TCGA-GN-A9SD"	NA	NA	NA	NA	NA
"TCGA-W3-AA1V"	"TCGA-W3-AA1V"	NA	NA	NA	NA	NA
"TCGA-BF-AAP4"	"TCGA-BF-AAP4"	0.6296	0.8983	1.5245	2.543	1.6775
"TCGA-XV-AAZW"	"TCGA-XV-AAZW"	-1.5866	-1.1842	-0.974	-0.89	-0.9595
"TCGA-XV-AB01"	"TCGA-XV-AB01"	NA	NA	NA	NA	NA
"TCGA-BF-AAP7"	"TCGA-BF-AAP7"	1.0727	1.3159	1.0165	2.918	1.474
"TCGA-BF-AAP2"	"TCGA-BF-AAP2"	0.177	0.1824	-0.022	1.003	0.472
"TCGA-XV-AAZV"	"TCGA-XV-AAZV"	0.5194	0.8638	0.3635	1.394	0.585
"TCGA-BF-AAP8"	"TCGA-BF-AAP8"	-0.7241	-0.6241	-1.112	0.6	0.341
"TCGA-YD-A9TB"	"TCGA-YD-A9TB"	NA	NA	NA	NA	NA
"TCGA-BF-AAP6"	"TCGA-BF-AAP6"	-1.1721	-0.8861	-1.105	-1.158	-0.9785
"TCGA-XV-AAZY"	"TCGA-XV-AAZY"	0.3887	0.3381	-0.6	1.207	0.0475
"TCGA-VD-A8KG"	"TCGA-VD-A8KG"	-1.468	-1.4403	-1.8605	-1.762	-1.2675
"TCGA-VD-A8KN"	"TCGA-VD-A8KN"	-0.3416	-0.1675	0.1845	0.389	0.401
