"FID"	"IID"	"Sigs160.Wolf_TGFB.PCA.17349583"	"Sigs160.Wolf_TGFB.score.21050467"	"Sigs160.Wolf_TREM1.data"	"Sigs160.Wolf_Troester.WoundSig.19887484"	"Core56.Adaptive.Receptor_BCR.Richness.Log10"
"TCGA-HT-7483"	"TCGA-HT-7483"	-1.2524	-0.5905	-1.873	-0.1093	NA
"TCGA-CS-6186"	"TCGA-CS-6186"	-2.3286	-0.8211	-2.076	-0.5765	NA
"TCGA-DU-7298"	"TCGA-DU-7298"	-1.9364	-0.9702	-1.818	-0.4371	0.477121255
"TCGA-HT-7475"	"TCGA-HT-7475"	-2.3639	-1.1737	-0.903	-0.3467	NA
"TCGA-DU-7006"	"TCGA-DU-7006"	-0.4777	-0.0218	0.679	-0.0357	NA
"TCGA-DU-7299"	"TCGA-DU-7299"	-2.4436	-1.1433	-1.709	-0.6032	NA
"TCGA-DU-7015"	"TCGA-DU-7015"	-2.2806	-1.0328	-1.873	-0.422	1.342422681
"TCGA-EZ-7264"	"TCGA-EZ-7264"	-2.3682	-1.3387	-2.878	-0.5982	NA
"TCGA-HT-7478"	"TCGA-HT-7478"	-1.1755	-0.7036	0.942	0.0142	NA
"TCGA-DU-7019"	"TCGA-DU-7019"	-1.4834	-0.6499	-0.926	-0.0646	NA
"TCGA-HT-7482"	"TCGA-HT-7482"	-2.2722	-1.0021	-1.836	-0.3606	NA
"TCGA-HT-7473"	"TCGA-HT-7473"	-1.6701	-0.8206	-0.22	-0.1722	NA
"TCGA-HT-7467"	"TCGA-HT-7467"	-2.0333	-0.9847	-3.061	-0.1946	NA
"TCGA-56-8624"	"TCGA-56-8624"	0.4488	0.4398	0.181	0.9712	1.361727836
"TCGA-56-8622"	"TCGA-56-8622"	0.9945	0.7003	1.198	1.0117	2.245512668
"TCGA-56-8503"	"TCGA-56-8503"	1.7602	1.0832	2.567	1.3331	2.041392685
"TCGA-56-8625"	"TCGA-56-8625"	1.0672	0.7107	2.395	0.9338	2.068185862
"TCGA-77-8153"	"TCGA-77-8153"	0.0362	0.2907	-0.157	0.5645	1.672097858
"TCGA-43-8118"	"TCGA-43-8118"	0.7486	0.5183	2.443	0.9468	0.698970004
"TCGA-56-8629"	"TCGA-56-8629"	0.6358	0.6862	2.2	0.7721	1.079181246
"TCGA-56-8504"	"TCGA-56-8504"	0.496	0.3475	0.275	0.5721	1.255272505
"TCGA-56-8623"	"TCGA-56-8623"	0.9445	0.2017	4.781	1.2541	1.255272505
"TCGA-56-8628"	"TCGA-56-8628"	1.1276	0.8183	1.988	1.2747	2.075546961
"TCGA-HU-A4GF"	"TCGA-HU-A4GF"	-0.1585	-0.0872	0.731	0.3176	2.004321374
"TCGA-CD-A48A"	"TCGA-CD-A48A"	0.0324	0.0525	0.891	0.4971	1.77815125
"TCGA-CD-A48C"	"TCGA-CD-A48C"	0.9796	0.3712	1.03	0.5434	2.133538908
"TCGA-BR-A4CR"	"TCGA-BR-A4CR"	-0.4136	-0.3507	0.215	0.1285	1.322219295
"TCGA-HU-A4GY"	"TCGA-HU-A4GY"	0.7212	0.2184	0.768	0.6393	1.62324929
"TCGA-FP-A4BE"	"TCGA-FP-A4BE"	0.0605	-0.143	-0.882	0.0057	2.436162647
"TCGA-BR-A453"	"TCGA-BR-A453"	1.4776	0.5505	-1.024	0.7822	1.079181246
"TCGA-BR-A44U"	"TCGA-BR-A44U"	0.4408	0.0982	0.978	0.0954	NA
"TCGA-BR-A4CS"	"TCGA-BR-A4CS"	0.401	0.1508	1.244	0.4588	1.477121255
"TCGA-FP-A4BF"	"TCGA-FP-A4BF"	1.3823	0.3772	1.518	0.8199	2.525044807
"TCGA-HU-A4G9"	"TCGA-HU-A4G9"	-1.8087	-0.8141	-1.054	-0.6386	NA
"TCGA-CD-A489"	"TCGA-CD-A489"	0.6985	0.4436	-1.501	0.7104	1.301029996
"TCGA-HU-A4GH"	"TCGA-HU-A4GH"	-0.8885	-0.2701	-0.112	0.2472	2.350248018
"TCGA-FB-A5VM"	"TCGA-FB-A5VM"	1.4867	0.6512	2.048	1.1325	1.041392685
