"FID"	"IID"	"Sigs160.Wolf_MHC1.21978456"	"Sigs160.Wolf_MHC2.21978456"	"Sigs160.Wolf_Minterferon.Cluster.21214954"	"Sigs160.Wolf_Module11.Prolif.score"	"Sigs160.Wolf_Module3.IFN.score"
"TCGA-V4-A9EO"	"TCGA-V4-A9EO"	-1.565	-1.7151	-1.5059	-1.0548	-1.8431
"TCGA-WC-A884"	"TCGA-WC-A884"	-0.1141	0.0965	-0.635	-0.9793	-0.5466
"TCGA-VD-AA8T"	"TCGA-VD-AA8T"	-0.3383	-1.6647	-1.4491	-1.932	-1.8543
"TCGA-VD-AA8M"	"TCGA-VD-AA8M"	0.0194	-1.5497	-1.0257	-1.6602	-0.8034
"TCGA-VD-A8KI"	"TCGA-VD-A8KI"	0.3654	-0.8485	-1.1486	-1.1755	-1.7092
"TCGA-YZ-A980"	"TCGA-YZ-A980"	0.3799	-0.3829	-0.8608	-1.2272	-0.8476
"TCGA-WC-A883"	"TCGA-WC-A883"	-0.2544	-1.6464	-1.5058	-0.0889	-1.9259
"TCGA-WC-A87U"	"TCGA-WC-A87U"	-0.585	-1.6484	-1.2508	-1.0735	-1.395
"TCGA-WC-AA9A"	"TCGA-WC-AA9A"	-0.478	-3.4391	-1.2708	-0.5351	-0.8511
"TCGA-WC-A880"	"TCGA-WC-A880"	-0.4263	-2.1295	-1.7681	-1.5204	-2.1646
"TCGA-WC-A88A"	"TCGA-WC-A88A"	-0.8046	-1.0628	-1.5328	-1.0726	-1.9145
"TCGA-YZ-A985"	"TCGA-YZ-A985"	-0.1403	-1.8272	-1.4678	-1.337	-2.0343
"TCGA-WC-A881"	"TCGA-WC-A881"	-0.6873	-1.2724	-1.191	-1.4042	-1.5681
"TCGA-V4-A9EI"	"TCGA-V4-A9EI"	0.4149	-0.7198	-0.6939	-0.2344	-0.7074
"TCGA-V4-A9E9"	"TCGA-V4-A9E9"	-0.2221	-2.0105	-2.1852	-2.1698	-3.0325
"TCGA-V4-A9EZ"	"TCGA-V4-A9EZ"	-0.2404	-1.1599	-0.1987	-1.6316	0.5262
"TCGA-V4-A9ES"	"TCGA-V4-A9ES"	-0.0736	-2.3449	-1.6553	-0.5067	-1.7371
"TCGA-VD-A8KD"	"TCGA-VD-A8KD"	1.4756	0.957	0.6269	-1.3454	0.009
"TCGA-WC-AA9E"	"TCGA-WC-AA9E"	-0.3774	-1.2563	-0.3116	-0.5773	0.178
"TCGA-V4-A9F7"	"TCGA-V4-A9F7"	-0.3761	-1.9058	-1.5103	-1.033	-1.7505
"TCGA-WC-A882"	"TCGA-WC-A882"	0.0947	-0.0869	-0.8566	-2.1497	-0.8172
"TCGA-VD-AA8O"	"TCGA-VD-AA8O"	1.0994	0.1843	-0.5931	-1.3406	-0.5818
"TCGA-VD-A8KK"	"TCGA-VD-A8KK"	0.1939	-1.1174	-1.0294	-0.7876	-1.49
"TCGA-WC-A888"	"TCGA-WC-A888"	1.3573	1.5545	0.5691	-1.5984	0.134
"TCGA-YZ-A984"	"TCGA-YZ-A984"	-1.631	-1.9593	-1.34	-1.677	-1.5747
"TCGA-WC-A87Y"	"TCGA-WC-A87Y"	1.3989	0.2756	-0.1512	-1.728	-0.4529
"TCGA-VD-AA8P"	"TCGA-VD-AA8P"	-0.0927	-1.3255	-1.4159	-0.8149	-1.4366
"TCGA-VD-A8KL"	"TCGA-VD-A8KL"	-0.9499	-1.7535	-1.8474	-1.2685	-2.596
"TCGA-VD-A8KE"	"TCGA-VD-A8KE"	-0.0846	-1.6292	-1.4831	-2.1905	-1.7848
"TCGA-V4-A9EA"	"TCGA-V4-A9EA"	-0.319	-1.524	-1.9575	-1.997	-2.5292
"TCGA-VQ-A8PC"	"TCGA-VQ-A8PC"	0.1394	-0.1566	1.1335	0.3456	1.8237
"TCGA-4C-A93U"	"TCGA-4C-A93U"	1.196	1.6484	0.6369	-1.1129	0.5717
"TCGA-QD-A8IV"	"TCGA-QD-A8IV"	-0.2757	-0.5209	-0.1085	-1.8639	-0.1089
"TCGA-DE-A69K"	"TCGA-DE-A69K"	-0.5269	0.5019	0.1929	-1.6958	0.2614
"TCGA-DE-A69J"	"TCGA-DE-A69J"	0.2401	0.4427	-0.3388	-1.2411	-0.4978
"TCGA-DE-A7U5"	"TCGA-DE-A7U5"	0.94	0.6275	0.5129	-1.1989	0.428
"TCGA-FY-A76V"	"TCGA-FY-A76V"	-0.585	0.0635	-0.4862	-1.7597	-0.5844
"TCGA-MK-A84Z"	"TCGA-MK-A84Z"	-0.0249	-0.7308	-0.2175	-2.0222	-0.0212
"TCGA-33-AASD"	"TCGA-33-AASD"	0.0386	-1.2543	0.129	0.6186	0.102
"TCGA-33-AASL"	"TCGA-33-AASL"	0.5567	-0.5355	0.5554	0.8698	0.8808
"TCGA-NK-A7XE"	"TCGA-NK-A7XE"	-0.2136	-0.3083	0.0941	0.8905	-0.38
"TCGA-XC-AA0X"	"TCGA-XC-AA0X"	-0.0364	0.5185	-0.1548	0.162	-0.5818
"TCGA-33-AASI"	"TCGA-33-AASI"	0.813	-0.095	0.6927	0.791	0.3293
"TCGA-33-AASJ"	"TCGA-33-AASJ"	-0.208	-1.3003	0.1824	1.0795	0.4756
"TCGA-6A-AB49"	"TCGA-6A-AB49"	0.2961	-2.2965	-0.3736	0.6844	-1.0306
"TCGA-33-AAS8"	"TCGA-33-AAS8"	-0.8314	-0.5845	-0.6784	0.5504	-1.1256
"TCGA-LA-A7SW"	"TCGA-LA-A7SW"	-0.6811	-1.1497	-0.5714	1.0466	-0.253
"TCGA-33-AASB"	"TCGA-33-AASB"	-0.4854	-0.8607	-0.8035	0.6929	-1.0845
"TCGA-56-A62T"	"TCGA-56-A62T"	-0.4429	0.2099	0.4979	0.6659	0.808
"TCGA-GN-A9SD"	"TCGA-GN-A9SD"	NA	NA	NA	NA	NA
"TCGA-W3-AA1V"	"TCGA-W3-AA1V"	NA	NA	NA	NA	NA
