"FID"	"IID"	"Sigs160.Wolf_Buck14.score"	"Sigs160.Wolf_CD103neg.mean.25446897"	"Sigs160.Wolf_CD103pos.CD103neg.ratio.25446897"	"Sigs160.Wolf_CD103pos.mean.25446897"	"Sigs160.Wolf_CD68"
"TCGA-V4-A9F7"	"TCGA-V4-A9F7"	-0.0448	-1.7622	1.0133	-1.0594	-0.664
"TCGA-WC-A882"	"TCGA-WC-A882"	-0.4752	-0.2006	-0.5079	-0.5296	1.834
"TCGA-VD-AA8O"	"TCGA-VD-AA8O"	-0.397	-0.5389	-0.5002	-0.8006	0.69
"TCGA-VD-A8KK"	"TCGA-VD-A8KK"	-0.4421	-0.9149	0.4959	-0.5068	0.293
"TCGA-WC-A888"	"TCGA-WC-A888"	0.5112	-0.0319	0.757	0.5749	0.417
"TCGA-YZ-A984"	"TCGA-YZ-A984"	0.0154	-1.4088	0.6379	-0.9076	1.923
"TCGA-WC-A87Y"	"TCGA-WC-A87Y"	-0.0208	-0.1586	0.1659	-0.0214	-0.113
"TCGA-VD-AA8P"	"TCGA-VD-AA8P"	-0.6826	-1.1576	0.3377	-0.8402	1.566
"TCGA-VD-A8KL"	"TCGA-VD-A8KL"	0.2357	-1.6657	0.8998	-1.0206	1.845
"TCGA-VD-A8KE"	"TCGA-VD-A8KE"	-0.0253	-0.7878	-0.3433	-0.9132	-0.266
"TCGA-V4-A9EA"	"TCGA-V4-A9EA"	-0.3722	-1.6788	0.1446	-1.432	0.357
"TCGA-VQ-A8PC"	"TCGA-VQ-A8PC"	0.217	1.0634	0.1997	1.1364	0.826
"TCGA-4C-A93U"	"TCGA-4C-A93U"	-0.0879	0.4344	-0.3828	0.0827	-0.106
"TCGA-QD-A8IV"	"TCGA-QD-A8IV"	0.3418	-0.552	0.1063	-0.4241	-1.355
"TCGA-DE-A69K"	"TCGA-DE-A69K"	-0.1908	-0.1288	-0.3832	-0.3871	-0.947
"TCGA-DE-A69J"	"TCGA-DE-A69J"	-0.2553	-0.4209	0.0521	-0.3422	-1.136
"TCGA-DE-A7U5"	"TCGA-DE-A7U5"	0.4926	0.3505	0.1004	0.3933	0.071
"TCGA-FY-A76V"	"TCGA-FY-A76V"	-0.2454	0.0131	-0.3624	-0.2542	-0.822
"TCGA-MK-A84Z"	"TCGA-MK-A84Z"	0.0668	-0.7203	-0.2535	-0.8026	-2.309
"TCGA-33-AASD"	"TCGA-33-AASD"	-0.2792	-0.1235	-1.4715	-1.0559	1.181
"TCGA-33-AASL"	"TCGA-33-AASL"	-0.1195	-0.1377	-0.3876	-0.3975	-0.863
"TCGA-NK-A7XE"	"TCGA-NK-A7XE"	0.1884	-0.1655	-0.4998	-0.4956	-0.797
"TCGA-XC-AA0X"	"TCGA-XC-AA0X"	0.6028	1.0355	0.2119	1.1222	1.031
"TCGA-33-AASI"	"TCGA-33-AASI"	0.3593	-0.3409	0.9079	0.3801	-0.142
"TCGA-33-AASJ"	"TCGA-33-AASJ"	0.0685	-0.5309	0.1192	-0.3961	-0.629
"TCGA-6A-AB49"	"TCGA-6A-AB49"	0.3278	-1.8387	0.0578	-1.6187	-0.418
"TCGA-33-AAS8"	"TCGA-33-AAS8"	0.745	-0.4535	-0.1768	-0.5249	-1.284
"TCGA-LA-A7SW"	"TCGA-LA-A7SW"	-0.8205	-0.0725	-1.1367	-0.8257	0.725
"TCGA-33-AASB"	"TCGA-33-AASB"	0.2151	-0.9822	0.45	-0.6022	-0.347
"TCGA-56-A62T"	"TCGA-56-A62T"	-0.4397	0.6818	-1.1196	-0.2653	0.473
"TCGA-GN-A9SD"	"TCGA-GN-A9SD"	NA	NA	NA	NA	NA
"TCGA-W3-AA1V"	"TCGA-W3-AA1V"	NA	NA	NA	NA	NA
"TCGA-BF-AAP4"	"TCGA-BF-AAP4"	-0.4195	-0.0179	0.6813	0.5247	0.683
"TCGA-XV-AAZW"	"TCGA-XV-AAZW"	-0.0062	-0.8099	-0.1099	-0.793	-0.892
"TCGA-XV-AB01"	"TCGA-XV-AB01"	NA	NA	NA	NA	NA
"TCGA-BF-AAP7"	"TCGA-BF-AAP7"	0.3516	0.5308	0.0691	0.5308	1.217
"TCGA-BF-AAP2"	"TCGA-BF-AAP2"	0.1714	-0.4815	0.9951	0.3017	0.012
"TCGA-XV-AAZV"	"TCGA-XV-AAZV"	0.5276	0.8519	-0.2978	0.5018	1.045
"TCGA-BF-AAP8"	"TCGA-BF-AAP8"	-0.319	0.2909	-0.9967	-0.4694	0.029
"TCGA-YD-A9TB"	"TCGA-YD-A9TB"	NA	NA	NA	NA	NA
"TCGA-BF-AAP6"	"TCGA-BF-AAP6"	-0.1827	-1.2365	0.4522	-0.8475	-0.208
"TCGA-XV-AAZY"	"TCGA-XV-AAZY"	0.044	-0.2828	0.24	-0.0816	1.699
"TCGA-VD-A8KG"	"TCGA-VD-A8KG"	-0.555	-0.6475	-0.1316	-0.6644	0.676
"TCGA-VD-A8KN"	"TCGA-VD-A8KN"	-0.3085	0.1014	0.1036	0.1691	1.236
"TCGA-V4-A9F2"	"TCGA-V4-A9F2"	-0.1952	-0.6132	-0.0341	-0.5719	0.937
"TCGA-VD-AA8S"	"TCGA-VD-AA8S"	-0.6567	-0.7652	-0.019	-0.6975	1.519
"TCGA-V4-A9E8"	"TCGA-V4-A9E8"	-0.0865	0.1406	-0.2561	-0.0697	1.772
"TCGA-VD-A8K8"	"TCGA-VD-A8K8"	0.1413	-0.6179	1.2528	0.3613	-0.12
"TCGA-VD-A8KO"	"TCGA-VD-A8KO"	-0.1618	-1.4278	-0.4108	-1.4833	-1.708
"TCGA-VD-A8KH"	"TCGA-VD-A8KH"	-0.7934	-1.4513	0.1083	-1.2424	-0.436
"TCGA-VD-A8K9"	"TCGA-VD-A8K9"	-0.4221	-1.6677	0.6763	-1.1466	-0.586
"TCGA-VD-AA8R"	"TCGA-VD-AA8R"	-0.0062	-1.4749	-0.5447	-1.5852	-0.265
"TCGA-V4-A9F3"	"TCGA-V4-A9F3"	0.2274	0.0101	0.7578	0.6186	0.219
"TCGA-V4-A9EW"	"TCGA-V4-A9EW"	-0.7387	-1.1885	-0.2848	-1.2188	-0.133
"TCGA-VD-A8KB"	"TCGA-VD-A8KB"	-0.1056	-1.6419	0.6721	-1.1228	0.547
