"FID"	"IID"	"Sigs160.Wolf_CSF1.response"	"Sigs160.Wolf_CSR.Activated.15701700"	"Sigs160.Wolf_CTLA4.data"	"Sigs160.Wolf_DAP12.data"	"Sigs160.Wolf_GP11.Immune.IFN"
"TCGA-59-2350"	"TCGA-59-2350"	-0.1721	0.2714	-0.597	0.256	0.5641
"TCGA-09-2045"	"TCGA-09-2045"	-0.2707	-0.0596	-1.433	0.034	0.5901
"TCGA-24-2267"	"TCGA-24-2267"	0.8574	0.027	0.989	1.195	0.7046
"TCGA-24-2295"	"TCGA-24-2295"	NA	NA	NA	NA	NA
"TCGA-25-2396"	"TCGA-25-2396"	0.1468	0.1343	0.553	0.675	0.6076
"TCGA-25-2409"	"TCGA-25-2409"	0.3592	0.0837	0.002	1.046	0.3081
"TCGA-59-2351"	"TCGA-59-2351"	0.4593	0.1374	-0.34	0.817	0.2271
"TCGA-09-2048"	"TCGA-09-2048"	-1.0518	0.397	-0.516	-0.037	-0.5199
"TCGA-24-2271"	"TCGA-24-2271"	0.2019	0.0221	1.203	0.446	0.5241
"TCGA-24-2297"	"TCGA-24-2297"	-0.7454	0.0746	-1.155	-0.767	0.4661
"TCGA-25-2397"	"TCGA-25-2397"	-0.1728	0.1117	-1.728	0.38	0.1221
"TCGA-29-2414"	"TCGA-29-2414"	-0.713	0.037	-2.074	-0.277	-0.1809
"TCGA-59-2352"	"TCGA-59-2352"	0.0028	-0.0107	0.095	0.076	0.7536
"TCGA-09-2049"	"TCGA-09-2049"	NA	NA	NA	NA	NA
"TCGA-24-2280"	"TCGA-24-2280"	NA	NA	NA	NA	NA
"TCGA-24-2298"	"TCGA-24-2298"	-0.4173	0.0863	-0.299	-0.089	0.6991
"TCGA-25-2398"	"TCGA-25-2398"	NA	NA	NA	NA	NA
"TCGA-29-2425"	"TCGA-29-2425"	-0.5482	0.1814	-0.572	-0.104	-0.1604
"TCGA-59-2354"	"TCGA-59-2354"	NA	NA	NA	NA	NA
"TCGA-09-2050"	"TCGA-09-2050"	NA	NA	NA	NA	NA
"TCGA-24-2281"	"TCGA-24-2281"	0.5433	0.1904	1.236	1.056	0.2986
"TCGA-25-2042"	"TCGA-25-2042"	NA	NA	NA	NA	NA
"TCGA-25-2399"	"TCGA-25-2399"	0.2632	0.1969	-0.059	0.476	0.5806
"TCGA-29-2427"	"TCGA-29-2427"	1.1463	0.0768	0.153	2.175	0.5821
"TCGA-59-2355"	"TCGA-59-2355"	-0.0899	0.0901	-0.331	0.402	0.4136
"TCGA-09-2051"	"TCGA-09-2051"	0.1463	0.1891	0.004	0.614	1.0631
"TCGA-24-2288"	"TCGA-24-2288"	0.3925	0.0245	0.965	0.393	0.5321
"TCGA-25-1329"	"TCGA-25-1329"	0.1243	0.0207	-1.393	0.589	0.2661
"TCGA-25-2400"	"TCGA-25-2400"	-0.2128	0.1674	-1.435	0.239	0.1406
"TCGA-29-2428"	"TCGA-29-2428"	0.423	0.2074	1.125	1.221	0.2841
"TCGA-59-2363"	"TCGA-59-2363"	-0.7355	0.2905	-2.012	-0.684	0.0771
"TCGA-09-2055"	"TCGA-09-2055"	NA	NA	NA	NA	NA
"TCGA-24-2289"	"TCGA-24-2289"	NA	NA	NA	NA	NA
"TCGA-25-2391"	"TCGA-25-2391"	0.0102	0.2054	-1.314	0.488	0.4071
"TCGA-25-2401"	"TCGA-25-2401"	NA	NA	NA	NA	NA
"TCGA-59-2348"	"TCGA-59-2348"	-0.1218	0.0778	-0.343	0.178	0.5031
"TCGA-09-2043"	"TCGA-09-2043"	NA	NA	NA	NA	NA
"TCGA-13-2060"	"TCGA-13-2060"	0.2284	0.349	1.17	1.024	0.5476
"TCGA-24-2290"	"TCGA-24-2290"	0.3945	0.1409	-0.092	0.952	0.4676
"TCGA-25-2392"	"TCGA-25-2392"	0.9513	0.0089	0.33	1.736	0.7491
"TCGA-59-2349"	"TCGA-59-2349"	NA	NA	NA	NA	NA
"TCGA-VD-AA8N"	"TCGA-VD-AA8N"	-0.4833	-0.0316	-1.604	0.832	-0.2299
"TCGA-V4-A9E5"	"TCGA-V4-A9E5"	-1.505	-0.1156	-3.179	-0.243	-0.8089
"TCGA-WC-A87T"	"TCGA-WC-A87T"	-1.6037	-0.2356	-2.34	-1.593	-0.9144
"TCGA-V4-A9EH"	"TCGA-V4-A9EH"	-0.538	-0.2639	-2.242	0.181	0.5496
"TCGA-V4-A9EL"	"TCGA-V4-A9EL"	0.1387	-0.1128	0.588	0.96	0.1921
"TCGA-V4-A9EQ"	"TCGA-V4-A9EQ"	-1.212	-0.1057	-3.179	0.109	-0.3834
"TCGA-V4-A9EV"	"TCGA-V4-A9EV"	0.6547	-0.2441	1.142	1.505	0.2511
"TCGA-V4-A9EY"	"TCGA-V4-A9EY"	-1.1842	-0.2166	-3.179	0.341	-0.6529
"TCGA-V3-A9ZY"	"TCGA-V3-A9ZY"	-1.1183	-0.2004	-3.179	-0.129	-0.6279
"TCGA-V4-A9F5"	"TCGA-V4-A9F5"	-1.8029	-0.0235	-3.179	-0.903	0.0696
"TCGA-V4-A9ED"	"TCGA-V4-A9ED"	-0.5164	-0.2167	-1.993	0.593	-0.2314
"TCGA-V4-A9EF"	"TCGA-V4-A9EF"	-1.1103	-0.0864	-3.179	-0.432	-0.6084
"TCGA-V4-A9E7"	"TCGA-V4-A9E7"	-1.9573	0.0432	-3.179	-1.355	-0.8424
"TCGA-VD-A8KA"	"TCGA-VD-A8KA"	-1.7698	-0.1364	-3.179	-1.7	-0.9929
"TCGA-V4-A9F4"	"TCGA-V4-A9F4"	-1.0513	-0.1495	-3.179	-0.526	-0.8914
"TCGA-V4-A9EX"	"TCGA-V4-A9EX"	-0.9383	-0.0125	-3.179	-0.727	-0.1679
"TCGA-V4-A9EO"	"TCGA-V4-A9EO"	-1.4362	-0.1163	-3.179	-1.388	-0.8229
"TCGA-WC-A884"	"TCGA-WC-A884"	-0.0835	-0.1225	-2.204	0.721	-0.1379
"TCGA-VD-AA8T"	"TCGA-VD-AA8T"	-1.0998	-0.2815	-3.179	-0.692	-0.8189
"TCGA-VD-AA8M"	"TCGA-VD-AA8M"	-1.3226	-0.147	-3.179	-0.529	-0.3464
"TCGA-VD-A8KI"	"TCGA-VD-A8KI"	-1.362	-0.0555	-3.179	-0.038	-0.5069
"TCGA-YZ-A980"	"TCGA-YZ-A980"	-0.6123	-0.2406	-1.824	-0.24	-0.2624
"TCGA-WC-A883"	"TCGA-WC-A883"	-0.8738	0.1377	-3.179	-0.166	-0.7249
"TCGA-WC-A87U"	"TCGA-WC-A87U"	-1.2653	-0.1222	-2.75	-0.687	-0.6754
"TCGA-WC-AA9A"	"TCGA-WC-AA9A"	-1.9601	0.0114	-3.179	-1.833	-0.1184
"TCGA-WC-A880"	"TCGA-WC-A880"	-1.3102	-0.1116	-3.179	-0.731	-0.8709
"TCGA-WC-A88A"	"TCGA-WC-A88A"	-1.2007	0.0312	-2.695	-0.594	-0.8429
"TCGA-YZ-A985"	"TCGA-YZ-A985"	-1.3525	-0.1229	-1.697	-0.679	-0.5944
"TCGA-WC-A881"	"TCGA-WC-A881"	-1.1116	-0.0213	-3.179	0.219	-0.6369
"TCGA-V4-A9EI"	"TCGA-V4-A9EI"	-0.9154	0.0516	-2.115	-0.518	-0.1859
"TCGA-V4-A9E9"	"TCGA-V4-A9E9"	-2.0061	0.0399	-3.179	-0.921	-0.9874
"TCGA-V4-A9EZ"	"TCGA-V4-A9EZ"	-1.3186	-0.0451	-2.345	0	0.3661
"TCGA-V4-A9ES"	"TCGA-V4-A9ES"	-1.7431	0.006	-3.179	-1.762	-0.7814
"TCGA-VD-A8KD"	"TCGA-VD-A8KD"	0.343	-0.2625	0.762	0.841	0.0971
"TCGA-WC-AA9E"	"TCGA-WC-AA9E"	-1.2522	-0.0086	-1.205	-0.748	0.0166
"TCGA-V4-A9F7"	"TCGA-V4-A9F7"	-1.5927	-0.1182	-2.801	-1.557	-0.7654
"TCGA-WC-A882"	"TCGA-WC-A882"	-0.7385	-0.1989	-2.289	0.914	-0.1834
"TCGA-VD-AA8O"	"TCGA-VD-AA8O"	-0.6264	-0.1868	-2.343	0.849	0.0281
"TCGA-VD-A8KK"	"TCGA-VD-A8KK"	-1.016	-0.0194	-2.243	0.049	-0.2804
"TCGA-WC-A888"	"TCGA-WC-A888"	0.3168	-0.1938	0.084	1.684	0.2656
"TCGA-YZ-A984"	"TCGA-YZ-A984"	-1.6531	-0.1199	-3.179	-1.197	-0.5059
"TCGA-WC-A87Y"	"TCGA-WC-A87Y"	-0.049	-0.2384	-0.183	0.389	-0.0904
"TCGA-VD-AA8P"	"TCGA-VD-AA8P"	-1.3461	-0.1259	-3.179	-0.777	-0.6314
"TCGA-VD-A8KL"	"TCGA-VD-A8KL"	-1.817	-0.0411	-2.587	-1.291	-0.7439
"TCGA-VD-A8KE"	"TCGA-VD-A8KE"	-1.1943	-0.2346	-3.179	-0.28	-0.5379
"TCGA-V4-A9EA"	"TCGA-V4-A9EA"	-1.8584	-0.1836	-3.179	-0.755	-0.8939
"TCGA-VQ-A8PC"	"TCGA-VQ-A8PC"	0.6363	-0.0566	0.75	0.612	0.6201
"TCGA-4C-A93U"	"TCGA-4C-A93U"	0.3897	-0.168	2.22	0.294	0.1216
"TCGA-QD-A8IV"	"TCGA-QD-A8IV"	-0.552	-0.1775	-1.18	-0.936	-0.2864
"TCGA-DE-A69K"	"TCGA-DE-A69K"	-0.0942	-0.1949	-0.898	-0.341	-0.0419
"TCGA-DE-A69J"	"TCGA-DE-A69J"	-0.2629	-0.1773	0.214	-0.71	-0.3164
"TCGA-DE-A7U5"	"TCGA-DE-A7U5"	0.3931	-0.2504	1.647	0.404	0.1151
"TCGA-FY-A76V"	"TCGA-FY-A76V"	-0.1248	-0.2678	-0.948	-0.34	-0.3249
"TCGA-MK-A84Z"	"TCGA-MK-A84Z"	-0.855	-0.1639	-1.54	-1.374	-0.1589
"TCGA-33-AASD"	"TCGA-33-AASD"	-0.5891	0.152	0.646	-0.723	0.0161
"TCGA-33-AASL"	"TCGA-33-AASL"	-0.2502	0.3053	0.095	0.071	0.5726
"TCGA-NK-A7XE"	"TCGA-NK-A7XE"	-0.3705	0.1536	0.066	-0.494	0.0916
"TCGA-XC-AA0X"	"TCGA-XC-AA0X"	0.822	-0.0621	1.985	0.811	-0.1714
"TCGA-33-AASI"	"TCGA-33-AASI"	-0.021	0.394	1.34	-0.171	0.3341
"TCGA-33-AASJ"	"TCGA-33-AASJ"	-0.8742	0.3071	0.109	-0.968	0.2091
"TCGA-6A-AB49"	"TCGA-6A-AB49"	-1.2464	0.284	-0.415	-1.819	-0.1734
"TCGA-33-AAS8"	"TCGA-33-AAS8"	-0.5262	0.2261	0.376	-1.152	-0.4174
"TCGA-LA-A7SW"	"TCGA-LA-A7SW"	-0.1924	0.4209	-0.132	-0.123	-0.1589
"TCGA-33-AASB"	"TCGA-33-AASB"	-1.1531	0.2463	-0.777	-1.487	-0.2754
"TCGA-56-A62T"	"TCGA-56-A62T"	0.1448	0.2177	0.139	0.43	0.3971
"TCGA-GN-A9SD"	"TCGA-GN-A9SD"	NA	NA	NA	NA	NA
"TCGA-W3-AA1V"	"TCGA-W3-AA1V"	NA	NA	NA	NA	NA
"TCGA-BF-AAP4"	"TCGA-BF-AAP4"	0.3135	0.0776	1.988	0.75	0.0801
"TCGA-XV-AAZW"	"TCGA-XV-AAZW"	-0.9895	0.156	-1.393	-0.74	-0.2259
"TCGA-XV-AB01"	"TCGA-XV-AB01"	NA	NA	NA	NA	NA
"TCGA-BF-AAP7"	"TCGA-BF-AAP7"	0.8233	0.05	1.643	2.008	0.5631
