"FID"	"IID"	"Sigs160.Attractors_G.GIMAP4"	"Sigs160.Attractors_G.HLA.DPA1"	"Sigs160.Attractors_G.LILRB4"	"Sigs160.Attractors_G.SIGLEC9"	"Sigs160.Attractors_G.SLAMF6"
"TCGA-B0-4811"	"TCGA-B0-4811"	9.721235833	12.26770052	7.654545048	5.182492801	6.1698259
"TCGA-B0-5400"	"TCGA-B0-5400"	8.98098583	13.73448761	8.411610177	6.834377704	7.07127974
"TCGA-CZ-5457"	"TCGA-CZ-5457"	11.02359497	13.82191559	8.009514076	7.35460259	6.990458405
"TCGA-CZ-5465"	"TCGA-CZ-5465"	9.7330139	12.59131422	7.613846505	6.448109235	5.742021367
"TCGA-B0-4815"	"TCGA-B0-4815"	10.8067362	14.12221138	9.31569913	7.860927485	9.594520573
"TCGA-CZ-4866"	"TCGA-CZ-4866"	9.058438263	13.15704235	8.452104849	7.482317993	6.169209271
"TCGA-B0-4698"	"TCGA-B0-4698"	9.078720209	13.30473113	8.897147685	6.968281842	7.936945901
"TCGA-B0-4816"	"TCGA-B0-4816"	10.99908424	14.34832727	9.545480612	8.446981129	6.709951689
"TCGA-B4-5377"	"TCGA-B4-5377"	10.00366774	13.50556563	8.241360251	7.2830276	6.852618114
"TCGA-CZ-5459"	"TCGA-CZ-5459"	10.21576723	13.21196588	7.525147376	6.389564322	6.782252227
"TCGA-B0-4818"	"TCGA-B0-4818"	10.77330265	13.3302022	8.058509859	6.536405327	8.225174717
"TCGA-CZ-5467"	"TCGA-CZ-5467"	10.67959485	12.56047756	8.014096536	6.451522336	5.587297935
"TCGA-B4-5378"	"TCGA-B4-5378"	10.58224238	11.7752028	6.565557872	5.593373193	5.085666356
"TCGA-AK-3458"	"TCGA-AK-3458"	9.379349258	13.07575332	6.818057124	5.716528426	7.350810404
"TCGA-DB-5281"	"TCGA-DB-5281"	8.123639233	9.487766746	6.165494454	5.365102444	2.332997645
"TCGA-E1-5322"	"TCGA-E1-5322"	8.066185433	12.01232556	7.059453796	6.576684542	1.581944833
