"FID"	"IID"	"Sigs160.Bindea_Th2.cells"	"Sigs160.Bindea_Treg.cells"	"Sigs160.ICR_ICR.SCORE"	"Sigs160.Senbabaoglu_Angiogenesis"	"Sigs160.Senbabaoglu_APM1"
"TCGA-BJ-A0ZH"	"TCGA-BJ-A0ZH"	-0.003569899	-0.086157732	5.652374838	0.258383037	0.455838633
"TCGA-C4-A0EZ"	"TCGA-C4-A0EZ"	NA	NA	NA	NA	NA
"TCGA-C4-A0F0"	"TCGA-C4-A0F0"	0.117365388	-0.085277573	6.470423104	0.139513702	0.465251549
"TCGA-BJ-A0ZB"	"TCGA-BJ-A0ZB"	0.010859155	-0.138380465	5.024670633	0.207563968	0.441003703
"TCGA-BJ-A0Z2"	"TCGA-BJ-A0Z2"	0.024393308	-0.165860968	4.631266984	0.183481542	0.426153212
"TCGA-09-2044"	"TCGA-09-2044"	0.005744449	-0.171630895	6.122255974	-0.004462594	0.390530384
"TCGA-24-2262"	"TCGA-24-2262"	0.025277981	-0.171581998	6.965285806	0.050958844	0.417217187
"TCGA-24-2293"	"TCGA-24-2293"	NA	NA	NA	NA	NA
"TCGA-25-2393"	"TCGA-25-2393"	0.016519925	-0.262238317	5.661739622	-0.047749611	0.361763547
"TCGA-25-2408"	"TCGA-25-2408"	NA	NA	NA	NA	NA
"TCGA-59-2350"	"TCGA-59-2350"	0.002741555	-0.257495241	5.649511926	-0.076793163	0.398681917
"TCGA-09-2045"	"TCGA-09-2045"	-0.094025882	-0.218474883	5.249507909	-0.058400436	0.412380094
"TCGA-24-2267"	"TCGA-24-2267"	-0.058754377	-0.13955401	7.72413191	-0.022554914	0.414982987
"TCGA-24-2295"	"TCGA-24-2295"	NA	NA	NA	NA	NA
"TCGA-25-2396"	"TCGA-25-2396"	-0.019207388	-0.192314619	6.939445825	-0.028236884	0.409052607
"TCGA-25-2409"	"TCGA-25-2409"	-0.058787281	-0.209477708	6.543049843	-0.029442634	0.401196531
"TCGA-59-2351"	"TCGA-59-2351"	-0.02327924	-0.181557127	6.677829924	-0.002265783	0.404933235
"TCGA-09-2048"	"TCGA-09-2048"	0.00479524	-0.324142794	3.806253967	-0.040551373	0.254538265
"TCGA-24-2271"	"TCGA-24-2271"	-0.042086292	-0.124004544	6.902039016	-0.002275423	0.397784541
"TCGA-24-2297"	"TCGA-24-2297"	-0.015210572	-0.239109709	5.100110968	0.005168869	0.407058536
"TCGA-25-2397"	"TCGA-25-2397"	-0.062937232	-0.296760087	4.567858224	-0.079616188	0.410084289
"TCGA-29-2414"	"TCGA-29-2414"	-0.043901465	-0.31045144	3.491332211	-0.02826896	0.355113155
"TCGA-59-2352"	"TCGA-59-2352"	-0.07251239	-0.212509365	6.919931646	-0.02676579	0.418918639
"TCGA-09-2049"	"TCGA-09-2049"	NA	NA	NA	NA	NA
"TCGA-24-2280"	"TCGA-24-2280"	NA	NA	NA	NA	NA
"TCGA-24-2298"	"TCGA-24-2298"	-0.024392461	-0.246395465	5.56004375	-0.001092171	0.394405023
"TCGA-25-2398"	"TCGA-25-2398"	NA	NA	NA	NA	NA
"TCGA-29-2425"	"TCGA-29-2425"	-0.045854808	-0.249964996	5.746836795	-0.054427442	0.319604957
"TCGA-59-2354"	"TCGA-59-2354"	NA	NA	NA	NA	NA
"TCGA-09-2050"	"TCGA-09-2050"	NA	NA	NA	NA	NA
"TCGA-24-2281"	"TCGA-24-2281"	-0.020304247	-0.124053442	7.686025003	-0.064377137	0.41982461
"TCGA-25-2042"	"TCGA-25-2042"	NA	NA	NA	NA	NA
"TCGA-25-2399"	"TCGA-25-2399"	-0.018022408	-0.21959953	7.029997184	-0.015796667	0.409227236
"TCGA-29-2427"	"TCGA-29-2427"	-0.013085572	-0.142683462	8.294093706	-0.000690706	0.420935224
"TCGA-59-2355"	"TCGA-59-2355"	-0.044209634	-0.221555438	6.445519044	-0.016882406	0.415724453
"TCGA-09-2051"	"TCGA-09-2051"	-0.006108939	-0.193243675	6.537027977	-0.076895782	0.422367246
"TCGA-24-2288"	"TCGA-24-2288"	-0.02678814	-0.132072663	7.330550067	0.007597089	0.413166463
"TCGA-25-1329"	"TCGA-25-1329"	-0.021731935	-0.265025485	5.229001307	-0.009635681	0.362233167
"TCGA-25-2400"	"TCGA-25-2400"	-0.035626026	-0.213585114	4.753609807	-0.091323446	0.398108911
"TCGA-29-2428"	"TCGA-29-2428"	-0.047238218	-0.138869442	7.845975289	-0.079688761	0.395735938
"TCGA-59-2363"	"TCGA-59-2363"	-0.004074863	-0.374703006	4.618477379	-0.056939737	0.372848521
"TCGA-09-2055"	"TCGA-09-2055"	NA	NA	NA	NA	NA
"TCGA-24-2289"	"TCGA-24-2289"	NA	NA	NA	NA	NA
"TCGA-25-2391"	"TCGA-25-2391"	0.005673939	-0.259891228	5.671093613	-0.120602763	0.40284633
"TCGA-25-2401"	"TCGA-25-2401"	NA	NA	NA	NA	NA
"TCGA-59-2348"	"TCGA-59-2348"	-0.0157428	-0.218914963	5.570474411	0.033276954	0.390784479
"TCGA-09-2043"	"TCGA-09-2043"	NA	NA	NA	NA	NA
"TCGA-13-2060"	"TCGA-13-2060"	-0.010988729	-0.14781772	7.620941395	-0.051783242	0.417892483
"TCGA-24-2290"	"TCGA-24-2290"	0.013556026	-0.192167926	5.30461994	-0.010658842	0.411109272
"TCGA-25-2392"	"TCGA-25-2392"	-0.066674168	-0.122537614	5.649174115	-0.024619491	0.397224437
"TCGA-59-2349"	"TCGA-59-2349"	NA	NA	NA	NA	NA
"TCGA-VD-AA8N"	"TCGA-VD-AA8N"	0.008546046	-0.05124478	5.606433203	0.15480243	0.464965163
"TCGA-V4-A9E5"	"TCGA-V4-A9E5"	-0.049627075	-0.132512743	2.34548932	0.079874529	0.404207046
"TCGA-WC-A87T"	"TCGA-WC-A87T"	-0.027638437	-0.214122989	2.535871803	0.054106616	0.386683479
"TCGA-V4-A9EH"	"TCGA-V4-A9EH"	-0.040016814	-0.162682618	5.4480335	0.087632942	0.484318071
"TCGA-V4-A9EL"	"TCGA-V4-A9EL"	0.029758043	-0.082245916	7.260807565	0.088373259	0.494457217
"TCGA-V4-A9EQ"	"TCGA-V4-A9EQ"	-0.013584264	-0.09148758	3.534014207	0.159728157	0.462345362
"TCGA-V4-A9EV"	"TCGA-V4-A9EV"	0.023239516	0.02689373	8.896556958	0.084483206	0.496054178
"TCGA-V4-A9EY"	"TCGA-V4-A9EY"	-0.064673225	-0.17852547	2.825603381	0.113213317	0.425555619
"TCGA-V3-A9ZY"	"TCGA-V3-A9ZY"	-0.055277503	-0.196373127	3.054214668	0.134653387	0.444438226
"TCGA-V4-A9F5"	"TCGA-V4-A9F5"	-0.017986115	-0.170212862	2.857331683	0.094237763	0.455125959
"TCGA-V4-A9ED"	"TCGA-V4-A9ED"	-0.011870493	-0.191483358	4.954535661	0.157960758	0.452750386
"TCGA-V4-A9EF"	"TCGA-V4-A9EF"	-0.007623809	-0.14146102	3.178884896	0.104193132	0.432298949
"TCGA-V4-A9E7"	"TCGA-V4-A9E7"	0.018333407	-0.15437001	2.430582732	0.090392515	0.400109707
"TCGA-VD-A8KA"	"TCGA-VD-A8KA"	-0.020274846	-0.1990625	1.945459954	0.080460461	0.3985345
"TCGA-V4-A9F4"	"TCGA-V4-A9F4"	-0.006147494	-0.185028863	3.438960898	0.115335705	0.408609239
"TCGA-V4-A9EX"	"TCGA-V4-A9EX"	0.016179007	-0.159748756	3.822806884	0.1140888	0.455564029
"TCGA-V4-A9EO"	"TCGA-V4-A9EO"	0.007723289	-0.235540177	2.676918346	0.080531011	0.39808673
"TCGA-WC-A884"	"TCGA-WC-A884"	-0.000875432	-0.139065033	5.118371617	0.121756682	0.460081897
"TCGA-VD-AA8T"	"TCGA-VD-AA8T"	-0.014040731	-0.201409589	3.225444106	0.085285007	0.409318949
"TCGA-VD-AA8M"	"TCGA-VD-AA8M"	-0.034745527	-0.188305008	3.169805324	0.095435035	0.437633639
"TCGA-VD-A8KI"	"TCGA-VD-A8KI"	-0.000755832	-0.092905613	4.631646336	0.107140583	0.467099112
"TCGA-YZ-A980"	"TCGA-YZ-A980"	0.000687184	-0.232459623	4.292930696	0.112908137	0.465062519
"TCGA-WC-A883"	"TCGA-WC-A883"	0.022005161	-0.221555438	3.927841431	0.143083335	0.406727073
"TCGA-WC-A87U"	"TCGA-WC-A87U"	-0.009551385	-0.191287767	3.017500807	0.079534442	0.435125757
"TCGA-WC-AA9A"	"TCGA-WC-AA9A"	0.028636788	-0.142194485	2.182380834	0.030844281	0.435295854
"TCGA-WC-A880"	"TCGA-WC-A880"	-0.017441256	-0.176765153	2.955159257	0.094631891	0.408304985
"TCGA-WC-A88A"	"TCGA-WC-A88A"	-0.002751423	-0.169186011	3.973272462	0.147456223	0.425726733
"TCGA-YZ-A985"	"TCGA-YZ-A985"	0.014719055	-0.121999739	3.745879963	0.085533617	0.444698286
"TCGA-WC-A881"	"TCGA-WC-A881"	-0.013453575	-0.180481377	4.125029053	0.089422792	0.434573519
"TCGA-V4-A9EI"	"TCGA-V4-A9EI"	0.04088372	-0.15290308	4.433299782	0.09069036	0.467205849
"TCGA-V4-A9E9"	"TCGA-V4-A9E9"	-0.048112112	-0.097893177	1.815002273	0.091276952	0.427629139
"TCGA-V4-A9EZ"	"TCGA-V4-A9EZ"	-0.028761719	-0.09803987	3.642121236	0.091926617	0.470669227
"TCGA-V4-A9ES"	"TCGA-V4-A9ES"	0.024400268	-0.170652942	2.149156025	0.073760211	0.448480509
"TCGA-VD-A8KD"	"TCGA-VD-A8KD"	0.023764656	-0.025964674	7.963978055	0.065764335	0.494207574
"TCGA-WC-AA9E"	"TCGA-WC-AA9E"	0.025416481	-0.17280444	4.64529148	0.064960762	0.472085222
"TCGA-V4-A9F7"	"TCGA-V4-A9F7"	-0.020033338	-0.181801615	2.123346236	0.059009189	0.421112293
"TCGA-WC-A882"	"TCGA-WC-A882"	-0.031914629	-0.130263449	4.043860497	0.145181235	0.439400718
"TCGA-VD-AA8O"	"TCGA-VD-AA8O"	-0.013099718	-0.093687976	5.2207225	0.083611036	0.47988108
"TCGA-VD-A8KK"	"TCGA-VD-A8KK"	0.013661013	-0.120092729	4.676766373	0.12250944	0.446428079
"TCGA-WC-A888"	"TCGA-WC-A888"	0.009789628	-0.068750154	7.70764573	0.076068252	0.491393554
"TCGA-YZ-A984"	"TCGA-YZ-A984"	-0.025260251	-0.196568718	3.00127337	0.158147493	0.385864283
"TCGA-WC-A87Y"	"TCGA-WC-A87Y"	0.0014377	-0.173244519	6.185058644	0.064001692	0.48102646
"TCGA-VD-AA8P"	"TCGA-VD-AA8P"	0.00139828	-0.131681482	2.526962674	0.135294486	0.443513485
"TCGA-VD-A8KL"	"TCGA-VD-A8KL"	0.008994175	-0.097257507	2.928916603	0.095807762	0.385897018
"TCGA-VD-A8KE"	"TCGA-VD-A8KE"	-0.034110872	-0.176178381	2.741460948	0.117693213	0.440464376
"TCGA-V4-A9EA"	"TCGA-V4-A9EA"	-0.040567535	-0.158721905	1.851851113	0.112343088	0.431829371
"TCGA-VQ-A8PC"	"TCGA-VQ-A8PC"	0.002322759	-0.173977985	6.319671734	0.125995584	0.413124769
"TCGA-4C-A93U"	"TCGA-4C-A93U"	0.024421439	0.012126627	7.646005995	0.268374635	0.487681926
"TCGA-QD-A8IV"	"TCGA-QD-A8IV"	-0.018631888	-0.189136269	5.653847968	0.256655604	0.438840272
"TCGA-DE-A69K"	"TCGA-DE-A69K"	0.015468116	-0.161949153	5.457948302	0.227273641	0.448842268
"TCGA-DE-A69J"	"TCGA-DE-A69J"	0.037616826	-0.085619857	5.318821203	0.179745751	0.440273072
"TCGA-DE-A7U5"	"TCGA-DE-A7U5"	0.029173207	-0.041465242	7.400347142	0.164301378	0.477741573
"TCGA-FY-A76V"	"TCGA-FY-A76V"	0.025485318	-0.210015583	5.135769844	0.309294955	0.419262528
"TCGA-MK-A84Z"	"TCGA-MK-A84Z"	-0.01731994	-0.218474883	4.923207517	0.340779874	0.437834388
"TCGA-33-AASD"	"TCGA-33-AASD"	0.089135992	-0.111877917	6.163030206	-0.032257063	0.468042522
"TCGA-33-AASL"	"TCGA-33-AASL"	0.062591342	-0.128845416	7.474595582	-0.060043907	0.485361959
"TCGA-NK-A7XE"	"TCGA-NK-A7XE"	0.094722126	-0.223658039	6.724076272	-0.05802725	0.478427929
"TCGA-XC-AA0X"	"TCGA-XC-AA0X"	0.050034238	-0.057748173	6.666133802	0.110306183	0.466552162
"TCGA-33-AASI"	"TCGA-33-AASI"	0.092087881	-0.088358128	7.849131139	0.080492372	0.496843801
"TCGA-33-AASJ"	"TCGA-33-AASJ"	0.079046326	-0.148991264	6.508516967	-0.094125605	0.482688725
"TCGA-6A-AB49"	"TCGA-6A-AB49"	0.061700141	-0.16644774	6.070938989	-0.090876638	0.476285474
"TCGA-33-AAS8"	"TCGA-33-AAS8"	0.061407604	-0.154907885	5.722141331	-0.022788808	0.43833385
"TCGA-LA-A7SW"	"TCGA-LA-A7SW"	0.078179271	-0.223902527	5.12035857	0.059195154	0.460798779
"TCGA-33-AASB"	"TCGA-33-AASB"	0.056808014	-0.18762044	4.985801233	-0.039596435	0.436884074
"TCGA-56-A62T"	"TCGA-56-A62T"	0.056462908	-0.143612518	5.881624598	0.004668296	0.475327545
"TCGA-GN-A9SD"	"TCGA-GN-A9SD"	NA	NA	NA	NA	NA
"TCGA-W3-AA1V"	"TCGA-W3-AA1V"	NA	NA	NA	NA	NA
"TCGA-BF-AAP4"	"TCGA-BF-AAP4"	0.098884852	-0.043127763	8.742885947	0.102852108	0.495862257
"TCGA-XV-AAZW"	"TCGA-XV-AAZW"	0.093065912	-0.177645311	4.364574088	0.086937057	0.446349506
"TCGA-XV-AB01"	"TCGA-XV-AB01"	NA	NA	NA	NA	NA
"TCGA-BF-AAP7"	"TCGA-BF-AAP7"	0.066987492	-0.032027988	8.844170242	0.214990214	0.496403943
"TCGA-BF-AAP2"	"TCGA-BF-AAP2"	0.074214225	-0.030903341	6.774694745	0.037362029	0.493671971
"TCGA-XV-AAZV"	"TCGA-XV-AAZV"	0.043369146	0.031832397	7.803552167	0.147776929	0.485956507
"TCGA-BF-AAP8"	"TCGA-BF-AAP8"	0.038774776	-0.140972043	5.575454714	0.096762843	0.478505323
"TCGA-YD-A9TB"	"TCGA-YD-A9TB"	NA	NA	NA	NA	NA
